What is the capital of France?, Berlin, Madrid, Paris, Rome, Paris
Who wrote "To Kill a Mockingbird"?, Harper Lee, J.K. Rowling, Ernest Hemingway, Mark Twain, Harper Lee
What is the largest planet in our solar system?, Earth, Mars, Jupiter, Saturn, Jupiter
Which element has the chemical symbol 'O'?, Oxygen, Gold, Silver, Nitrogen, Oxygen
Who painted the Mona Lisa?, Vincent van Gogh, Pablo Picasso, Leonardo da Vinci, Claude Monet, Leonardo da Vinci
What is the smallest country in the world?, Monaco, Vatican City, San Marino, Liechtenstein, Vatican City
Who was the first President of the United States?, Abraham Lincoln, Thomas Jefferson, George Washington, John Adams, George Washington
What is the main ingredient in guacamole?, Tomato, Avocado, Potato, Cucumber, Avocado
Which planet is known as the Red Planet?, Earth, Mars, Jupiter, Venus, Mars
What is the longest river in the world?, Amazon, Nile, Yangtze, Mississippi, Nile
Who is known as the "Father of Computers"?, Bill Gates, Steve Jobs, Charles Babbage, Alan Turing, Charles Babbage
What year did the Titanic sink?, 1912, 1905, 1915, 1920, 1912
Which mammal is known to have the most powerful bite?, Lion, Tiger, Hippopotamus, Great White Shark, Hippopotamus
What is the chemical formula for water?, CO2, H2O, O2, NaCl, H2O
Who wrote "1984"?, George Orwell, Aldous Huxley, J.R.R. Tolkien, F. Scott Fitzgerald, George Orwell
What is the hardest natural substance on Earth?, Iron, Diamond, Gold, Quartz, Diamond
What is the capital city of Japan?, Seoul, Beijing, Tokyo, Bangkok, Tokyo
Who discovered penicillin?, Marie Curie, Alexander Fleming, Louis Pasteur, Gregor Mendel, Alexander Fleming
Which planet is closest to the sun?, Venus, Earth, Mercury, Mars, Mercury
What is the largest ocean on Earth?, Atlantic Ocean, Indian Ocean, Arctic Ocean, Pacific Ocean, Pacific Ocean
Who is the author of the Harry Potter series?, J.K. Rowling, Suzanne Collins, J.R.R. Tolkien, George R.R. Martin, J.K. Rowling
What is the capital of Australia?, Sydney, Canberra, Melbourne, Brisbane, Canberra
Which famous scientist developed the theory of relativity?, Isaac Newton, Nikola Tesla, Albert Einstein, Galileo Galilei, Albert Einstein
What is the tallest mountain in the world?, K2, Mount Everest, Kangchenjunga, Lhotse, Mount Everest
Who is the Greek god of the sea?, Hades, Zeus, Poseidon, Hermes, Poseidon
Which country is known as the Land of the Rising Sun?, China, South Korea, Thailand, Japan, Japan
What is the currency of the United Kingdom?, Dollar, Euro, Pound Sterling, Yen, Pound Sterling
Who was the first man to walk on the moon?, Buzz Aldrin, Neil Armstrong, Michael Collins, Yuri Gagarin, Neil Armstrong
What is the largest desert in the world?, Sahara, Gobi, Kalahari, Arabian, Sahara
Who wrote "Pride and Prejudice"?, Emily Brontë, Charles Dickens, Jane Austen, Mary Shelley, Jane Austen
What is the fastest land animal?, Cheetah, Lion, Tiger, Gazelle, Cheetah
What is the main language spoken in Brazil?, Spanish, Portuguese, French, English, Portuguese
